book_id,title,author,category,publisher,year,isbn,total_copies,available_copies
B001,Programming Volume 1,John Smith,Programming,Pearson,2018,9780135000001,3,2
B002,Data Science Volume 2,Andrew Ng,Data Science,O'Reilly,2019,9780135000002,4,3
B003,Artificial Intelligence Volume 3,Jake VanderPlas,Artificial Intelligence,Wiley,2020,9780135000003,5,5
B004,Database Volume 4,Ian Goodfellow,Database,McGraw Hill,2021,9780135000004,6,5
B005,Networking Volume 5,Ramesh Kumar,Networking,Springer,2022,9780135000005,7,5
B006,Cyber Security Volume 6,Herbert Schildt,Cyber Security,MIT Press,2023,9780135000006,8,8
B007,Cloud Computing Volume 7,Dennis Ritchie,Cloud Computing,Elsevier,2024,9780135000007,2,1
B008,Software Engineering Volume 8,Andrew Tanenbaum,Software Engineering,Packt,2025,9780135000008,3,1
B009,Operating Systems Volume 9,William Stallings,Operating Systems,Pearson,2026,9780135000009,4,4
B010,Web Development Volume 10,Robert Martin,Web Development,O'Reilly,2018,9780135000010,5,4
B011,Programming Volume 11,John Smith,Programming,Wiley,2019,9780135000011,6,4
B012,Data Science Volume 12,Andrew Ng,Data Science,McGraw Hill,2020,9780135000012,7,7
B013,Artificial Intelligence Volume 13,Jake VanderPlas,Artificial Intelligence,Springer,2021,9780135000013,8,7
B014,Database Volume 14,Ian Goodfellow,Database,MIT Press,2022,9780135000014,2,0
B015,Networking Volume 15,Ramesh Kumar,Networking,Elsevier,2023,9780135000015,3,3
B016,Cyber Security Volume 16,Herbert Schildt,Cyber Security,Packt,2024,9780135000016,4,3
B017,Cloud Computing Volume 17,Dennis Ritchie,Cloud Computing,Pearson,2025,9780135000017,5,3
B018,Software Engineering Volume 18,Andrew Tanenbaum,Software Engineering,O'Reilly,2026,9780135000018,6,6
B019,Operating Systems Volume 19,William Stallings,Operating Systems,Wiley,2018,9780135000019,7,6
B020,Web Development Volume 20,Robert Martin,Web Development,McGraw Hill,2019,9780135000020,8,6
B021,Programming Volume 21,John Smith,Programming,Springer,2020,9780135000021,2,2
B022,Data Science Volume 22,Andrew Ng,Data Science,MIT Press,2021,9780135000022,3,2
B023,Artificial Intelligence Volume 23,Jake VanderPlas,Artificial Intelligence,Elsevier,2022,9780135000023,4,2
B024,Database Volume 24,Ian Goodfellow,Database,Packt,2023,9780135000024,5,5
B025,Networking Volume 25,Ramesh Kumar,Networking,Pearson,2024,9780135000025,6,5
B026,Cyber Security Volume 26,Herbert Schildt,Cyber Security,O'Reilly,2025,9780135000026,7,5
B027,Cloud Computing Volume 27,Dennis Ritchie,Cloud Computing,Wiley,2026,9780135000027,8,8
B028,Software Engineering Volume 28,Andrew Tanenbaum,Software Engineering,McGraw Hill,2018,9780135000028,2,1
B029,Operating Systems Volume 29,William Stallings,Operating Systems,Springer,2019,9780135000029,3,1
B030,Web Development Volume 30,Robert Martin,Web Development,MIT Press,2020,9780135000030,4,4
B031,Programming Volume 31,John Smith,Programming,Elsevier,2021,9780135000031,5,4
B032,Data Science Volume 32,Andrew Ng,Data Science,Packt,2022,9780135000032,6,4
B033,Artificial Intelligence Volume 33,Jake VanderPlas,Artificial Intelligence,Pearson,2023,9780135000033,7,7
B034,Database Volume 34,Ian Goodfellow,Database,O'Reilly,2024,9780135000034,8,7
B035,Networking Volume 35,Ramesh Kumar,Networking,Wiley,2025,9780135000035,2,0
B036,Cyber Security Volume 36,Herbert Schildt,Cyber Security,McGraw Hill,2026,9780135000036,3,3
B037,Cloud Computing Volume 37,Dennis Ritchie,Cloud Computing,Springer,2018,9780135000037,4,3
B038,Software Engineering Volume 38,Andrew Tanenbaum,Software Engineering,MIT Press,2019,9780135000038,5,3
B039,Operating Systems Volume 39,William Stallings,Operating Systems,Elsevier,2020,9780135000039,6,6
B040,Web Development Volume 40,Robert Martin,Web Development,Packt,2021,9780135000040,7,6
B041,Programming Volume 41,John Smith,Programming,Pearson,2022,9780135000041,8,6
B042,Data Science Volume 42,Andrew Ng,Data Science,O'Reilly,2023,9780135000042,2,2
B043,Artificial Intelligence Volume 43,Jake VanderPlas,Artificial Intelligence,Wiley,2024,9780135000043,3,2
B044,Database Volume 44,Ian Goodfellow,Database,McGraw Hill,2025,9780135000044,4,2
B045,Networking Volume 45,Ramesh Kumar,Networking,Springer,2026,9780135000045,5,5
B046,Cyber Security Volume 46,Herbert Schildt,Cyber Security,MIT Press,2018,9780135000046,6,5
B047,Cloud Computing Volume 47,Dennis Ritchie,Cloud Computing,Elsevier,2019,9780135000047,7,5
