category_id,category_name
C001,Category 1
C002,Category 2
C003,Category 3
C004,Category 4
C005,Category 5
C006,Category 6
C007,Category 7
C008,Category 8
C009,Category 9
C010,Category 10
C011,Category 11
C012,Category 12
C013,Category 13
C014,Category 14
C015,Category 15
C016,Category 16
C017,Category 17
C018,Category 18
C019,Category 19
C020,Category 20
C021,Category 21
C022,Category 22
C023,Category 23
C024,Category 24
C025,Category 25
C026,Category 26
C027,Category 27
C028,Category 28
C029,Category 29
C030,Category 30
C031,Category 31
C032,Category 32
C033,Category 33
C034,Category 34
C035,Category 35
C036,Category 36
C037,Category 37
C038,Category 38
C039,Category 39
C040,Category 40
C041,Category 41
C042,Category 42
C043,Category 43
C044,Category 44
C045,Category 45
C046,Category 46
C047,Category 47
C048,Category 48
C049,Category 49
C050,Category 50
C051,Category 51
C052,Category 52
C053,Category 53
C054,Category 54
C055,Category 55
C056,Category 56
C057,Category 57
C058,Category 58
C059,Category 59
C060,Category 60
C061,Category 61
C062,Category 62
C063,Category 63
C064,Category 64
C065,Category 65
C066,Category 66
C067,Category 67
C068,Category 68
C069,Category 69
C070,Category 70
C071,Category 71
C072,Category 72
C073,Category 73
C074,Category 74
C075,Category 75
C076,Category 76
C077,Category 77
C078,Category 78
C079,Category 79
C080,Category 80
C081,Category 81
C082,Category 82
C083,Category 83
C084,Category 84
C085,Category 85
C086,Category 86
C087,Category 87
C088,Category 88
C089,Category 89
C090,Category 90
C091,Category 91
C092,Category 92
C093,Category 93
C094,Category 94
C095,Category 95
C096,Category 96
C097,Category 97
C098,Category 98
C099,Category 99
C100,Category 100
C101,Category 101
C102,Category 102
C103,Category 103
C104,Category 104
C105,Category 105
C106,Category 106
C107,Category 107
C108,Category 108
C109,Category 109
C110,Category 110
C111,Category 111
C112,Category 112
C113,Category 113
C114,Category 114
C115,Category 115
C116,Category 116
C117,Category 117
C118,Category 118
C119,Category 119
C120,Category 120
C121,Category 121
C122,Category 122
C123,Category 123
C124,Category 124
C125,Category 125
C126,Category 126
C127,Category 127
C128,Category 128
C129,Category 129
C130,Category 130
C131,Category 131
C132,Category 132
C133,Category 133
C134,Category 134
C135,Category 135
C136,Category 136
C137,Category 137
C138,Category 138
C139,Category 139
C140,Category 140
C141,Category 141
C142,Category 142
C143,Category 143
C144,Category 144
C145,Category 145
C146,Category 146
C147,Category 147
C148,Category 148
C149,Category 149
C150,Category 150
C151,Category 151
C152,Category 152
C153,Category 153
C154,Category 154
C155,Category 155
C156,Category 156
C157,Category 157
C158,Category 158
C159,Category 159
C160,Category 160
C161,Category 161
C162,Category 162
C163,Category 163
C164,Category 164
C165,Category 165
C166,Category 166
C167,Category 167
C168,Category 168
C169,Category 169
C170,Category 170
C171,Category 171
C172,Category 172
C173,Category 173
C174,Category 174
C175,Category 175
C176,Category 176
C177,Category 177
C178,Category 178
C179,Category 179
C180,Category 180
C181,Category 181
C182,Category 182
C183,Category 183
C184,Category 184
C185,Category 185
C186,Category 186
C187,Category 187
C188,Category 188
C189,Category 189
C190,Category 190
C191,Category 191
C192,Category 192
C193,Category 193
C194,Category 194
C195,Category 195
C196,Category 196
C197,Category 197
C198,Category 198
C199,Category 199
C200,Category 200
