fine_id,borrow_id,user_id,fine_amount,fine_status
F001,BR001,U001,10,Pending
F002,BR002,U002,20,Paid
F003,BR003,U003,30,Pending
F004,BR004,U004,40,Paid
F005,BR005,U005,50,Pending
F006,BR006,U006,60,Paid
F007,BR007,U007,70,Pending
F008,BR008,U008,80,Paid
F009,BR009,U009,90,Pending
F010,BR010,U010,0,Paid
F011,BR011,U011,10,Pending
F012,BR012,U012,20,Paid
F013,BR013,U013,30,Pending
F014,BR014,U014,40,Paid
F015,BR015,U015,50,Pending
F016,BR016,U016,60,Paid
F017,BR017,U017,70,Pending
F018,BR018,U018,80,Paid
F019,BR019,U019,90,Pending
F020,BR020,U020,0,Paid
F021,BR021,U021,10,Pending
F022,BR022,U022,20,Paid
F023,BR023,U023,30,Pending
F024,BR024,U024,40,Paid
F025,BR025,U025,50,Pending
F026,BR026,U026,60,Paid
F027,BR027,U027,70,Pending
F028,BR028,U028,80,Paid
F029,BR029,U029,90,Pending
F030,BR030,U030,0,Paid
F031,BR031,U031,10,Pending
F032,BR032,U032,20,Paid
F033,BR033,U033,30,Pending
F034,BR034,U034,40,Paid
F035,BR035,U035,50,Pending
F036,BR036,U036,60,Paid
F037,BR037,U037,70,Pending
F038,BR038,U038,80,Paid
F039,BR039,U039,90,Pending
F040,BR040,U040,0,Paid
F041,BR041,U041,10,Pending
F042,BR042,U042,20,Paid
F043,BR043,U043,30,Pending
F044,BR044,U044,40,Paid
F045,BR045,U045,50,Pending
F046,BR046,U046,60,Paid
F047,BR047,U047,70,Pending
F048,BR048,U048,80,Paid
F049,BR049,U049,90,Pending
F050,BR050,U050,0,Paid
F051,BR051,U051,10,Pending
F052,BR052,U052,20,Paid
F053,BR053,U053,30,Pending
F054,BR054,U054,40,Paid
F055,BR055,U055,50,Pending
F056,BR056,U056,60,Paid
F057,BR057,U057,70,Pending
F058,BR058,U058,80,Paid
F059,BR059,U059,90,Pending
F060,BR060,U060,0,Paid
F061,BR061,U061,10,Pending
F062,BR062,U062,20,Paid
F063,BR063,U063,30,Pending
F064,BR064,U064,40,Paid
F065,BR065,U065,50,Pending
F066,BR066,U066,60,Paid
F067,BR067,U067,70,Pending
F068,BR068,U068,80,Paid
F069,BR069,U069,90,Pending
F070,BR070,U070,0,Paid
F071,BR071,U071,10,Pending
F072,BR072,U072,20,Paid
F073,BR073,U073,30,Pending
F074,BR074,U074,40,Paid
F075,BR075,U075,50,Pending
F076,BR076,U076,60,Paid
F077,BR077,U077,70,Pending
F078,BR078,U078,80,Paid
F079,BR079,U079,90,Pending
F080,BR080,U080,0,Paid
F081,BR081,U081,10,Pending
F082,BR082,U082,20,Paid
F083,BR083,U083,30,Pending
F084,BR084,U084,40,Paid
F085,BR085,U085,50,Pending
F086,BR086,U086,60,Paid
F087,BR087,U087,70,Pending
F088,BR088,U088,80,Paid
F089,BR089,U089,90,Pending
F090,BR090,U090,0,Paid
F091,BR091,U091,10,Pending
F092,BR092,U092,20,Paid
F093,BR093,U093,30,Pending
F094,BR094,U094,40,Paid
F095,BR095,U095,50,Pending
F096,BR096,U096,60,Paid
F097,BR097,U097,70,Pending
F098,BR098,U098,80,Paid
F099,BR099,U099,90,Pending
F100,BR100,U100,0,Paid
F101,BR101,U101,10,Pending
F102,BR102,U102,20,Paid
F103,BR103,U103,30,Pending
F104,BR104,U104,40,Paid
F105,BR105,U105,50,Pending
F106,BR106,U106,60,Paid
F107,BR107,U107,70,Pending
F108,BR108,U108,80,Paid
F109,BR109,U109,90,Pending
F110,BR110,U110,0,Paid
F111,BR111,U111,10,Pending
F112,BR112,U112,20,Paid
F113,BR113,U113,30,Pending
F114,BR114,U114,40,Paid
F115,BR115,U115,50,Pending
F116,BR116,U116,60,Paid
F117,BR117,U117,70,Pending
F118,BR118,U118,80,Paid
F119,BR119,U119,90,Pending
F120,BR120,U120,0,Paid
F121,BR121,U121,10,Pending
F122,BR122,U122,20,Paid
F123,BR123,U123,30,Pending
F124,BR124,U124,40,Paid
F125,BR125,U125,50,Pending
F126,BR126,U126,60,Paid
F127,BR127,U127,70,Pending
F128,BR128,U128,80,Paid
F129,BR129,U129,90,Pending
F130,BR130,U130,0,Paid
F131,BR131,U131,10,Pending
F132,BR132,U132,20,Paid
F133,BR133,U133,30,Pending
F134,BR134,U134,40,Paid
F135,BR135,U135,50,Pending
F136,BR136,U136,60,Paid
F137,BR137,U137,70,Pending
F138,BR138,U138,80,Paid
F139,BR139,U139,90,Pending
F140,BR140,U140,0,Paid
F141,BR141,U141,10,Pending
F142,BR142,U142,20,Paid
F143,BR143,U143,30,Pending
F144,BR144,U144,40,Paid
F145,BR145,U145,50,Pending
F146,BR146,U146,60,Paid
F147,BR147,U147,70,Pending
F148,BR148,U148,80,Paid
F149,BR149,U149,90,Pending
F150,BR150,U150,0,Paid
F151,BR151,U151,10,Pending
F152,BR152,U152,20,Paid
F153,BR153,U153,30,Pending
F154,BR154,U154,40,Paid
F155,BR155,U155,50,Pending
F156,BR156,U156,60,Paid
F157,BR157,U157,70,Pending
F158,BR158,U158,80,Paid
F159,BR159,U159,90,Pending
F160,BR160,U160,0,Paid
F161,BR161,U161,10,Pending
F162,BR162,U162,20,Paid
F163,BR163,U163,30,Pending
F164,BR164,U164,40,Paid
F165,BR165,U165,50,Pending
F166,BR166,U166,60,Paid
F167,BR167,U167,70,Pending
F168,BR168,U168,80,Paid
F169,BR169,U169,90,Pending
F170,BR170,U170,0,Paid
F171,BR171,U171,10,Pending
F172,BR172,U172,20,Paid
F173,BR173,U173,30,Pending
F174,BR174,U174,40,Paid
F175,BR175,U175,50,Pending
F176,BR176,U176,60,Paid
F177,BR177,U177,70,Pending
F178,BR178,U178,80,Paid
F179,BR179,U179,90,Pending
F180,BR180,U180,0,Paid
F181,BR181,U181,10,Pending
F182,BR182,U182,20,Paid
F183,BR183,U183,30,Pending
